# 高频词段中词根表未覆盖的段（人工补 scripts/zh-root.json 后重跑入库）
# 格式: 词段	出现次数
skin	5904
tone	5902
dark	4972
with	1877
background	1525
off	1389
in	1263
alt	1203
remix	1007
duo	757
baseline	640
and	627
24px	560
letter	540
facing	528
to	328
google	328
on	324
slash	297
index	273
of	258
men	258
ibm	207
gesturing	204
getting	204
wrestling	196
mobiledata	194
biking	194
waves	192
minimalistic	192
alpha	170
bunny	169
motorized	169
exclamation	166
cane	164
backhand	144
raised	129
abstract	129
git	125
wearing	123
frowning	118
spark	116
feeding	114
